Rank,Title,Author,Price
1,"Atomic Habits - Tiny Challenges, Remarkable Results: the life-changing million-copy #1 bestseller",Clear  James,"€ 11,59"
2,Twisted Love: the TikTok sensation! Fall into a world of addictive romance...: 1,Huang  Ana,"€ 8,46"
3,Twisted Hate: the TikTok sensation! Fall into a world of addictive romance...: 3,Huang  Ana,"€ 9,79"
4,Icebreaker,Grace  Hannah,"€ 11,49"
5,Things We Hide From The Light: the unforgettable sequel to global bestseller Things We Never Got Over: 2,Score  Lucy,"€ 11,49"
6,Final Offer: meet the new Dreamland billionaire...: 3,Asher  Lauren,"€ 11,86"
7,The diary of a first-time CMO,Alice de Courcy,"€ 12,13"
8,Twisted Lies: the TikTok sensation! Fall into a world of addictive romance...: 4,Huang  Ana,"€ 8,46"
9,Twisted Games: the TikTok sensation! Fall into a world of addictive romance...: 2,Huang  Ana,"€ 9,79"
10,Things We Never Got Over: the TikTok bestseller and perfect small-town romcom!: 1,Score  Lucy,"€ 11,50"
11,The 48 Laws Of Power: Robert Greene,Robert Greene,"€ 11,99"
12,"Thinking, Fast and Slow: Daniel Kahneman",Kahneman  Daniel,"€ 9,49"
13,A Court of Thorns and Roses Paperback Box Set: Sarah J. Maas (Paperback Boxset): 1-5,Maas  Sarah J.,"€ 47,39"
14,In the Lives of Puppets,TJ Klune,"€ 5,82"
15,Stone Maidens,Lloyd Devereux Richards,"€ 12,99"
16,How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships,Leil Lowndes,"€ 7,79"
17,Start with Why: The Inspiring Million-Copy Bestseller That Will Help You Find Your Purpose,Sinek  Simon,"€ 10,49"
18,"The Culture Map: Decoding How People Think, Lead, and Get Things Done Across Cultures",Meyer  Erin,"€ 13,39"
19,"Timeless Seeds of Advice: The Sayings of Prophet Muhammad ﷺ, Ibn Taymiyyah, Ibn al-Qayyim, Ibn al-Jawzi and Other Prominent Scholars in Bringing Comfort and Hope to the Soul",B. B. Abdulla,"€ 12,42"
20,The Serpent and the Wings of Night,Carissa Broadbent,"€ 19,67"
21,The Science of Stuck: Breaking Through Inertia to Find Your Path Forward,Britt Frank,"€ 15,06"
22,The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery,Brianna Wiest,"€ 22,36"
23,"The Boy, The Mole, The Fox and The Horse: Charlie Mackesy",Charlie Mackesy,"€ 14,49"
24,12 Rules for Life: An Antidote to Chaos,Peterson  Jordan B,"€ 11,99"
25,"The Psychology of Money: Timeless lessons on wealth, greed, and happiness",Morgan Housel,"€ 15,68"
26,"The body keeps the score: mind, brain and body in the transformation of trauma",Bessel A. van der Kolk,"€ 14,39"
27,It Starts with Us: Colleen Hoover,Colleen Hoover,"€ 14,88"
28,Never Split the Difference: Negotiating as if Your Life Depended on It,Chris Voss,"€ 11,89"
29,King of Wrath: from the bestselling author of the Twisted series,Huang  Ana,"€ 11,86"
30,"Surrounded by Idiots: The Four Types of Human Behaviour (or, How to Understand Those Who Cannot Be Understood)",Thomas Erikson,"€ 13,94"
